Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural gas,Large hydro,Batteries,Imports,Other,Day ahead forecast,Hour ahead forecast,Current demand
00:00,-38,2157,934,314,202,346,15,2282,4543,2496,-18,9223,0,23549,22176,21945.0
00:05,-37,2130,934,287,203,347,14,2280,4471,2198,12,9417,0,22286,21840,21771.0
00:10,-37,2108,933,319,203,347,15,2281,4524,2110,13,9497,0,22286,21840,21815.0
00:15,-37,2107,934,325,203,347,15,2281,4495,2110,13,9459,0,22286,21840,21757.0
00:20,-37,2092,933,326,203,347,15,2281,4409,2110,12,9457,0,22286,21595,21656.0
00:25,-37,2063,934,303,203,347,14,2280,4363,2104,11,9409,0,22286,21595,21498.0
00:30,-37,2079,934,332,203,347,14,2280,4218,2091,0,9413,0,22286,21595,21355.0
00:35,-37,2136,935,330,203,346,14,2281,4227,2033,-1,9399,0,22286,21248,21315.0
00:40,-37,2159,935,331,203,345,14,2281,4243,2001,-2,9325,0,22286,21248,21214.0
00:45,-37,2162,934,331,203,347,14,2280,4118,1980,-2,9378,0,22286,21248,21100.0
00:50,-37,2182,935,330,203,345,14,2280,4036,2000,-2,9352,0,22286,20955,21001.0
00:55,-37,2184,935,331,203,345,14,2280,3945,2022,4,9298,0,22286,20955,20911.0
01:00,-37,2190,935,331,203,345,14,2281,3961,2016,12,9180,0,22286,20955,20818.0
01:05,-37,2209,935,332,203,345,14,2281,3934,2062,34,8977,0,21154,20618,20652.0
01:10,-37,2227,935,331,203,346,15,2280,3845,2074,33,8893,0,21154,20618,20551.0
01:15,-37,2231,936,331,203,346,15,2280,3856,2033,23,8916,0,21154,20618,20547.0
01:20,-37,2217,935,331,203,346,15,2280,3726,2035,21,9010,0,21154,20377,20470.0
01:25,-37,2194,935,331,203,346,15,2280,3620,2028,21,9043,0,21154,20377,20391.0
01:30,-37,2180,935,331,203,346,15,2280,3450,2018,21,9107,0,21154,20377,20247.0
01:35,-37,2172,936,332,203,346,15,2280,3355,2011,15,9158,0,21154,20079,20212.0
01:40,-37,2181,935,332,203,346,15,2279,3433,2011,11,9074,0,21154,20079,20203.0
01:45,-37,2189,936,332,204,347,15,2280,3486,1980,4,8935,0,21154,20079,20088.0
01:50,-37,2204,936,331,204,346,15,2279,3691,1717,12,9095,0,21154,19958,20042.0
01:55,-37,2184,935,317,204,346,15,2279,3642,1696,7,9149,0,21154,19958,19908.0
02:00,-37,2165,935,332,203,347,15,2278,3679,1674,13,9135,0,21154,19958,19886.0
02:05,-37,2142,935,330,203,346,15,2279,3661,1646,-2,9212,0,20321,19738,19891.0
02:10,-37,2111,936,328,203,346,15,2278,3714,1632,-6,9184,0,20321,19738,19848.0
02:15,-37,2091,936,315,204,346,15,2277,3662,1635,-5,9180,0,20321,19738,19770.0
02:20,-37,2049,935,332,204,347,15,2278,3625,1630,-6,9226,0,20321,19599,19718.0
02:25,-37,1992,935,333,204,344,16,2278,3586,1616,-6,9251,0,20321,19599,19680.0
02:30,-37,1943,935,334,204,339,15,2278,3546,1617,-6,9235,0,20321,19599,19580.0
02:35,-37,1909,933,319,204,339,16,2277,3489,1627,-6,9191,0,20321,19534,19471.0
02:40,-37,1879,934,332,204,341,15,2278,3572,1606,-6,9178,0,20321,19534,19484.0
02:45,-37,1850,934,334,204,340,16,2277,3564,1601,-6,9182,0,20321,19534,19469.0
02:50,-37,1820,934,332,204,341,16,2278,3558,1601,-2,9192,0,20321,19372,19432.0
02:55,-37,1780,934,331,204,341,16,2277,3516,1599,-2,9199,0,20321,19372,19334.0
03:00,-37,1739,934,332,204,341,16,2278,3487,1603,-1,9209,0,20321,19372,19266.0
03:05,-38,1729,935,333,204,341,16,2277,3560,1602,-1,9198,0,19859,19237,19287.0
03:10,-38,1719,934,333,203,342,17,2277,3550,1602,-1,9204,0,19859,19237,19275.0
03:15,-39,1707,933,317,203,341,16,2277,3554,1599,-1,9230,0,19859,19237,19253.0
03:20,-39,1678,934,332,203,341,16,2276,3478,1602,-1,9213,0,19859,19161,19153.0
03:25,-39,1626,934,332,203,342,16,2276,3490,1600,-1,9236,0,19859,19161,19137.0
03:30,-39,1589,934,334,203,341,17,2277,3538,1598,-1,9241,0,19859,19161,19155.0
03:35,-39,1557,935,319,201,341,17,2277,3536,1597,-1,9268,0,19859,19104,19129.0
