Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural gas,Large hydro,Batteries,Imports,Other,Day ahead forecast,Hour ahead forecast,Current demand
00:00,0,3902,877,384,212,477,9,2278,4520,4548,-4,5859,0,23387,22716,22701.0
00:05,0,3845,882,380,215,479,9,2278,4302,4422,64,6045,0,21614,22518,22408.0
00:10,0,3805,883,379,216,480,9,2277,4450,4395,56,6044,0,21614,22518,22338.0
00:15,0,3791,885,377,217,481,9,2278,4427,4399,7,6019,0,21614,22518,22247.0
00:20,0,3806,886,377,216,482,9,2278,4374,4407,10,5985,0,21614,22253,22162.0
00:25,0,3801,886,375,217,482,8,2278,4371,4364,-55,5972,0,21614,22253,22107.0
00:30,0,3816,883,376,216,482,9,2278,4478,4334,-71,5892,0,21614,22253,22037.0
00:35,0,3829,885,377,216,482,9,2278,4136,4582,-30,5684,0,21614,21730,21869.0
00:40,0,3824,885,375,217,483,9,2279,3711,4688,-41,5646,0,21614,21730,21754.0
00:45,0,3795,885,375,216,483,9,2278,3708,4710,-3,5559,0,21614,21730,21653.0
00:50,0,3781,884,372,216,483,8,2278,3582,4723,1,5564,0,21614,21543,21555.0
00:55,0,3814,885,368,216,482,8,2279,3513,4713,1,5516,0,21614,21543,21460.0
01:00,0,3847,885,369,216,483,9,2278,3491,4719,3,5439,0,21614,21543,21376.0
01:05,0,3859,884,373,216,483,8,2278,3491,4640,-4,5416,0,20618,21219,21313.0
01:10,0,3874,885,376,215,483,9,2277,3445,4623,5,5420,0,20618,21219,21265.0
01:15,0,3885,885,376,215,483,9,2278,3372,4622,5,5406,0,20618,21219,21202.0
01:20,0,3906,885,373,215,483,8,2278,3373,4616,2,5332,0,20618,20991,21128.0
01:25,0,3931,885,372,215,483,8,2277,3351,4610,-6,5282,0,20618,20991,21064.0
01:30,0,3955,884,372,215,483,8,2277,3267,4616,-1,5259,0,20618,20991,20986.0
01:35,0,3956,885,376,215,482,9,2277,3119,4626,5,5292,0,20618,20775,20894.0
01:40,0,3968,885,376,215,482,9,2277,3075,4627,5,5233,0,20618,20775,20805.0
01:45,0,3972,885,377,215,481,8,2277,3063,4632,5,5149,0,20618,20775,20727.0
01:50,0,3930,886,376,216,481,9,2277,3088,4671,5,5096,0,20618,20615,20688.0
01:55,0,3892,885,379,215,482,9,2277,3048,4666,13,5093,0,20618,20615,20628.0
02:00,0,3879,886,378,215,482,9,2277,2992,4666,36,5087,0,20618,20615,20561.0
02:05,0,3849,887,376,215,482,9,2276,2939,4589,70,5169,0,19985,20469,20549.0
02:10,0,3794,886,376,215,482,9,2276,2899,4546,71,5261,0,19985,20469,20504.0
02:15,0,3743,887,378,215,481,9,2276,2866,4533,91,5293,0,19985,20469,20435.0
