Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other,Day ahead forecast,Hour ahead forecast,Current demand
00:00,-41,2859,893,266,215,179,19,2268,9383,1375,-254,7305,0,24971,23332,23266
00:05,-42,2869,888,266,215,180,20,2268,9064,1221,-201,7701,0,22892,23090,23232
00:10,-41,2885,893,265,215,181,20,2267,8773,1174,-150,7859,0,22892,23090,23145
00:15,-41,2878,892,264,216,180,19,2267,8645,1221,-145,7821,0,22892,23090,23018
00:20,-41,2829,892,266,216,180,19,2267,8562,1223,-142,7837,0,22892,22774,22956
00:25,-41,2785,892,263,216,180,19,2266,8594,1241,-158,7797,0,22892,22774,22874
00:30,-41,2785,892,263,216,180,19,2266,8515,1233,-166,7807,0,22892,22774,22769
00:35,-41,2779,892,263,216,180,19,2265,8456,1225,-166,7813,0,22892,22512,22696
00:40,-41,2801,892,264,216,181,19,2266,8376,1216,-167,7795,0,22892,22512,22597
00:45,-41,2821,892,264,216,181,19,2265,8274,1206,-168,7863,0,22892,22512,22532
00:50,-41,2840,892,264,216,181,19,2266,8179,1202,-159,7880,0,22892,22254,22460
00:55,-41,2845,892,264,217,180,19,2266,8135,1207,-159,7832,0,22892,22254,22384
01:00,-41,2844,891,262,215,179,18,2266,8081,1245,-162,7787,0,22892,22254,22323
01:05,-41,2851,892,261,216,180,18,2266,8058,1253,-305,7921,0,22035,22095,22249
01:10,-41,2806,892,262,215,181,18,2266,8144,1267,-348,7948,0,22035,22095,22194
01:15,-41,2752,892,263,215,181,19,2266,8074,1294,-344,7989,0,22035,22095,22109
01:20,-41,2774,892,263,216,182,19,2266,7943,1306,-330,7979,0,22035,21904,22014
01:25,-41,2817,893,261,216,182,19,2267,7846,1298,-338,7996,0,22035,21904,21957
01:30,-42,2809,891,260,216,181,19,2267,7837,1298,-337,7963,0,22035,21904,21886
01:35,-42,2748,891,262,217,181,20,2267,7894,1327,-341,7881,0,22035,21704,21835
01:40,-42,2714,892,265,216,180,20,2267,7940,1355,-425,7886,0,22035,21704,21778
