Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural gas,Large hydro,Batteries,Imports,Other,Day ahead forecast,Hour ahead forecast,Current demand
00:00,0,3506,844,324,196,480,4,2278,4151,4776,0,5550,0,22612,22170,22097.0
00:05,0,3644,844,325,196,471,5,2276,3891,4678,33,5668,0,21497,21980,21975.0
00:10,0,3644,843,328,196,472,5,2278,3792,4548,17,5815,0,21497,21980,21945.0
00:15,0,3622,843,328,197,473,4,2277,3897,4493,2,5820,0,21497,21980,21902.0
00:20,0,3603,843,330,196,474,4,2278,3880,4457,21,5752,0,21497,21755,21789.0
00:25,0,3590,843,330,196,474,4,2278,4035,4277,20,5842,0,21497,21755,21670.0
00:30,0,3596,844,330,196,474,5,2278,4196,4273,26,5777,0,21497,21755,21597.0
00:35,0,3615,843,327,197,475,4,2278,4073,4261,25,5827,0,21497,21524,21526.0
00:40,0,3561,844,329,196,475,5,2278,4061,4225,25,5835,0,21497,21524,21442.0
00:45,0,3456,844,330,197,475,5,2278,4303,3989,90,6024,0,21497,21524,21355.0
00:50,0,3383,843,330,196,476,5,2278,4364,3972,87,6019,0,21497,21269,21292.0
00:55,0,3388,843,328,197,476,5,2278,4322,3883,25,6110,0,21497,21269,21197.0
01:00,0,3361,843,329,197,476,5,2278,4305,3777,-12,6197,0,21497,21269,21083.0
01:05,0,3324,844,327,197,476,5,2278,4236,3824,9,6221,0,20780,21026,20978.0
01:10,0,3321,843,325,197,476,5,2277,4106,3790,22,6288,0,20780,21026,20973.0
01:15,0,3351,843,324,197,476,5,2278,4147,3707,-32,6335,0,20780,21026,20953.0
01:20,0,3335,843,322,197,474,5,2279,4191,3685,-44,6343,0,20780,20821,20931.0
01:25,0,3337,843,321,196,474,5,2279,4132,3653,25,6262,0,20780,20821,20796.0
01:30,0,3338,843,324,197,474,4,2279,4024,3741,25,6249,0,20780,20821,20718.0
01:35,0,3370,842,323,197,473,4,2279,3852,3764,23,6249,0,20780,20609,20677.0
01:40,0,3354,843,321,197,473,4,2280,3834,3801,33,6226,0,20780,20609,20624.0
01:45,0,3347,842,320,196,472,4,2280,3711,3804,23,6246,0,20780,20609,20546.0
01:50,0,3353,843,321,196,472,4,2281,3630,3807,23,6276,0,20780,20528,20485.0
01:55,0,3364,842,325,197,472,4,2280,3599,3796,15,6206,0,20780,20528,20414.0
02:00,0,3339,843,326,196,469,4,2281,3626,3738,15,6196,0,20780,20528,20343.0
02:05,0,3307,843,328,196,464,3,2280,3472,3778,34,6279,0,20288,20317,20242.0
02:10,0,3290,843,323,198,464,4,2280,3402,3811,29,6342,0,20288,20317,20249.0
02:15,0,3279,842,324,196,471,4,2280,3375,3829,29,6343,0,20288,20317,20247.0
02:20,0,3282,841,326,196,472,4,2280,3466,3799,25,6230,0,20288,20207,20208.0
02:25,0,3309,842,330,196,471,4,2280,3370,3758,9,6276,0,20288,20207,20130.0
02:30,0,3306,843,331,196,472,3,2281,3339,3777,14,6266,0,20288,20207,20124.0
02:35,0,3302,843,330,196,471,3,2280,3338,3789,22,6233,0,20288,20098,20085.0
02:40,0,3274,842,327,196,471,3,2281,3350,3795,29,6184,0,20288,20098,20042.0
02:45,0,3267,842,332,197,471,3,2281,3380,3794,8,6128,0,20288,20098,20003.0
02:50,0,3266,843,336,196,472,4,2280,3397,3819,10,6099,0,20288,20026,19971.0
02:55,0,3243,843,334,196,472,3,2280,3396,3812,3,6046,0,20288,20026,19932.0
03:00,0,3193,842,328,196,473,4,2280,3464,3738,9,6090,0,20288,20026,19939.0
03:05,0,3190,843,330,195,473,4,2281,3191,3875,5,6057,0,20124,19963,19870.0
03:10,0,3213,842,328,195,473,5,2279,2958,3882,18,6070,0,20124,19963,19880.0
03:15,0,3212,843,327,196,473,7,2280,2926,3863,9,6127,0,20124,19963,19880.0
03:20,0,3222,843,326,196,475,7,2280,2924,3827,9,6149,0,20124,19949,19871.0
03:25,0,3224,843,326,196,472,6,2280,2906,3750,2,6232,0,20124,19949,19871.0
03:30,0,3206,844,335,197,474,7,2280,2934,3722,11,6262,0,20124,19949,19859.0
03:35,0,3191,843,337,196,475,6,2279,2930,3781,-7,6249,0,20124,19904,19863.0
03:40,0,3158,843,340,196,475,6,2278,2899,3795,-7,6292,0,20124,19904,19886.0
03:45,0,3104,841,340,196,474,6,2279,2911,3802,-8,6335,0,20124,19904,19889.0
03:50,0,3048,842,340,196,475,8,2277,2943,3874,1,6332,0,20124,19948,19893.0
03:55,0,3024,842,340,196,474,7,2278,2912,3942,-3,6291,0,20124,19948,19890.0
04:00,0,2978,842,339,196,474,5,2278,2909,3962,-6,6317,0,20124,19948,19905.0
04:05,0,2944,842,330,197,474,5,2278,2813,4142,-9,6289,0,20578,20124,20052.0
04:10,0,2873,841,334,196,474,5,2279,2630,4202,10,6363,0,20578,20124,20140.0
04:15,0,2789,842,336,197,475,5,2279,2613,4186,0,6523,0,20578,20124,20189.0
04:20,0,2709,843,338,197,474,5,2279,2645,4157,10,6574,0,20578,20231,20160.0
04:25,0,2630,843,336,196,473,5,2278,2783,4128,-14,6616,0,20578,20231,20236.0
04:30,0,2540,843,334,196,473,4,2279,2981,4115,-15,6641,0,20578,20231,20331.0
04:35,0,2461,844,336,196,473,5,2280,3130,4114,-11,6634,0,20578,20490,20392.0
04:40,0,2397,844,335,196,473,5,2279,3173,4124,0,6716,0,20578,20490,20481.0
04:45,0,2307,845,333,196,473,5,2279,3202,4136,0,6830,0,20578,20490,20540.0
04:50,0,2229,845,335,196,473,5,2279,3292,4179,0,6851,0,20578,20677,20596.0
04:55,0,2168,845,336,196,473,5,2280,3386,4187,-28,6817,0,20578,20677,20616.0
05:00,0,2128,845,339,197,473,5,2280,3548,4179,-53,6902,0,20578,20677,20756.0
05:05,0,2089,845,340,196,486,5,2279,3725,4100,38,7121,0,21875,21166,20927.0
05:10,0,2036,844,341,196,513,5,2278,3757,4111,86,7336,0,21875,21166,21129.0
05:15,0,2016,854,339,196,513,4,2278,3775,4178,5,7454,0,21875,21166,21254.0
05:20,0,2009,854,340,196,513,4,2278,4093,4186,-13,7204,0,21875,21519,21310.0
