Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural gas,Large hydro,Batteries,Imports,Other,Day ahead forecast,Hour ahead forecast,Current demand
00:00,-38,4176,926,351,222,341,11,2257,6023,2263,-18,9315,0,26511,25906,25577.0
00:05,-37,4140,926,353,221,340,10,2257,6034,2218,5,9289,0,25277,25521,25505.0
00:10,-37,4124,925,352,221,337,10,2257,6011,2225,16,9219,0,25277,25521,25411.0
00:15,-37,4157,925,352,221,334,9,2257,5773,2224,18,9279,0,25277,25521,25280.0
00:20,-37,4184,925,353,222,334,9,2257,5562,2226,14,9325,0,25277,25122,25131.0
00:25,-37,4200,925,352,222,330,9,2256,5404,2211,12,9326,0,25277,25122,24997.0
00:30,-37,4231,925,353,221,324,10,2257,5384,2203,2,9186,0,25277,25122,24836.0
00:35,-37,4236,925,353,221,324,10,2256,5295,2181,-1,9147,0,25277,24666,24686.0
00:40,-37,4248,927,352,222,324,10,2256,5275,2158,-4,9056,0,25277,24666,24541.0
00:45,-37,4256,927,351,222,323,10,2256,5193,2141,-6,8980,0,25277,24666,24389.0
00:50,-37,4240,928,351,221,323,10,2256,5177,2077,3,8909,0,25277,24189,24247.0
00:55,-37,4221,927,353,221,322,10,2256,5105,2120,-4,8859,0,25277,24189,24127.0
01:00,-37,4240,926,353,221,321,10,2255,4941,2079,3,8870,0,25277,24189,23994.0
01:05,-37,4230,927,352,221,321,11,2255,4542,2043,96,9126,0,23699,23731,23860.0
01:10,-37,4198,927,352,221,322,11,2254,4381,1956,69,9231,0,23699,23731,23759.0
01:15,-37,4224,927,351,221,322,10,2254,4358,1875,-6,9299,0,23699,23731,23653.0
01:20,-37,4212,928,351,222,322,10,2254,4273,1812,-82,9479,0,23699,23511,23544.0
01:25,-37,4223,929,352,221,321,10,2254,4259,1832,-85,9449,0,23699,23511,23424.0
01:30,-37,4212,929,352,222,322,10,2253,4189,1882,-12,9223,0,23699,23511,23315.0
01:35,-37,4151,929,349,222,321,10,2254,4123,1894,8,9122,0,23699,23182,23189.0
01:40,-37,4134,931,350,222,321,10,2254,4053,1889,-1,9072,0,23699,23182,23076.0
01:45,-37,4095,929,349,222,320,10,2253,4009,1900,8,9040,0,23699,23182,22967.0
01:50,-37,4101,930,349,222,321,10,2254,3906,1877,3,9058,0,23699,22856,22872.0
01:55,-37,4124,929,352,222,321,10,2253,3853,1798,-7,9028,0,23699,22856,22765.0
02:00,-36,4116,929,354,222,321,10,2253,3846,1666,0,9062,0,23699,22856,22665.0
02:05,-36,4117,924,352,222,323,10,2253,3817,1538,8,9107,0,22549,22549,22565.0
02:10,-36,4130,928,350,222,323,10,2253,3761,1457,10,9136,0,22549,22549,22439.0
02:15,-35,4105,929,352,222,323,10,2253,3779,1437,3,9087,0,22549,22549,22348.0
02:20,-36,4104,929,351,222,323,10,2253,3705,1406,-2,9061,0,22549,22288,22240.0
02:25,-36,4095,930,352,222,322,10,2254,3746,1391,-2,8991,0,22549,22288,22163.0
02:30,-36,4100,931,351,223,322,10,2254,3714,1370,-2,8926,0,22549,22288,22072.0
02:35,-36,4077,930,350,222,321,10,2254,3702,1399,-12,8885,0,22549,21975,21980.0
02:40,-36,4083,930,349,222,321,10,2255,3640,1386,-21,8872,0,22549,21975,21902.0
02:45,-36,4064,930,351,222,321,10,2255,3589,1367,-2,8875,0,22549,21975,21812.0
02:50,-36,4046,930,352,222,321,9,2254,3523,1363,-18,8968,0,22549,21727,21770.0
02:55,-35,4027,930,352,222,321,9,2255,3449,1395,-9,8916,0,22549,21727,21685.0
03:00,-36,3968,930,351,223,321,10,2254,3391,1423,-9,8905,0,22549,21727,21593.0
03:05,-36,3912,932,351,223,322,10,2254,3468,1536,8,8697,0,21827,21555,21540.0
03:10,-37,3845,932,352,223,322,11,2254,3469,1573,0,8636,0,21827,21555,21466.0
03:15,-37,3808,932,351,223,322,10,2253,3473,1572,-1,8578,0,21827,21555,21409.0
