Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural gas,Large hydro,Batteries,Imports,Other,Day ahead forecast,Hour ahead forecast,Current demand
00:00,-35,2175,1014,351,225,133,19,1146,8478,695,-10,6879,0,20995,20669,20682.0
00:05,-35,2124,1015,350,225,135,19,1147,8870,720,-7,6711,0,20517,20488,20812.0
00:10,-35,2100,1012,350,225,140,19,1146,9233,649,-32,6635,0,20517,20488,21028.0
00:15,-35,2048,1012,351,226,140,19,1146,9416,636,-83,6726,0,20517,20488,21099.0
00:20,-35,2051,1012,352,226,141,19,1146,9421,632,-45,6854,0,20517,20327,21245.0
00:25,-35,2069,1013,353,226,141,19,1146,9379,621,-29,6915,0,20517,20327,21324.0
00:30,-35,2105,1005,354,225,141,19,1147,9224,630,-39,6948,0,20517,20327,21284.0
00:35,-35,2116,1012,353,226,141,19,1147,8579,628,-29,6804,0,20517,20144,20507.0
00:40,-35,2141,1013,353,226,140,19,1146,8575,625,-24,6742,0,20517,20144,20434.0
00:45,-35,2195,1013,353,226,140,19,1147,8444,626,-44,6745,0,20517,20144,20369.0
00:50,-35,2259,1014,353,226,140,19,1147,8327,643,-44,6689,0,20517,20067,20290.0
00:55,-35,2322,1015,354,226,140,19,1147,8202,660,-25,6637,0,20517,20067,20234.0
01:00,-35,2413,1015,355,226,140,19,1147,8100,663,-51,6581,0,20517,20067,20151.0
01:05,-35,2499,1015,355,226,140,19,1147,8041,671,-52,6508,0,19878,19989,20110.0
01:10,-35,2504,1015,354,226,139,19,1146,7997,675,-58,6498,0,19878,19989,20078.0
01:15,-35,2516,1015,354,226,139,19,1146,7971,674,-53,6472,0,19878,19989,20028.0
01:20,-35,2423,1014,357,226,139,19,1147,7898,684,-67,6534,0,19878,19822,19973.0
01:25,-35,2323,1013,356,226,139,20,1147,7963,684,-50,6538,0,19878,19822,19957.0
01:30,-35,2279,1014,358,226,139,20,1147,7986,686,-37,6506,0,19878,19822,19910.0
01:35,-35,2270,1014,350,226,140,19,1147,7935,665,-65,6541,0,19878,19731,19868.0
01:40,-35,2304,1013,351,226,140,19,1147,7986,648,-46,6448,0,19878,19731,19819.0
01:45,-35,2360,1013,354,226,139,19,1147,8005,641,-62,6361,0,19878,19731,19813.0
01:50,-35,2404,1013,354,226,138,19,1146,7937,636,-67,6329,0,19878,19672,19771.0
01:55,-35,2492,1015,354,226,137,19,1147,7785,633,-53,6334,0,19878,19672,19717.0
